,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Title,BooleanGender,NumericalEmbarked,NumericalTitle,NumericalSurvived,TravelingWith
222,No,3,male,51.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
223,No,3,male,37.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
224,Yes,1,male,38.0,1,0,90.0,S,2,Mr,0,1.0,4.0,1,Male TW/ Family
225,No,3,male,22.0,0,0,9.35,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
226,Yes,2,male,19.0,0,0,10.5,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
227,No,3,male,20.5,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
228,No,2,male,18.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
229,No,3,female,25.0,3,1,25.4667,S,5,Miss,1,1.0,2.0,0,Female TW/ Family
230,Yes,1,female,35.0,1,0,83.475,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
231,No,3,male,29.0,0,0,7.775,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
232,No,2,male,59.0,0,0,13.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
233,Yes,3,female,5.0,4,2,31.3875,S,7,Miss,1,1.0,2.0,1,Child TW/ Family
234,No,2,male,24.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
235,No,3,female,23.0,0,0,7.55,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
236,No,2,male,44.0,1,0,26.0,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
237,Yes,2,female,8.0,0,2,26.25,S,3,Miss,1,1.0,2.0,1,Child TW/ Sibling
238,No,2,male,19.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
239,No,2,male,33.0,0,0,12.275,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
240,No,3,female,9.0,1,0,14.4542,C,2,Miss,1,2.0,2.0,0,Child TW/ Parent
241,Yes,3,female,27.0,1,0,15.5,Q,2,Miss,1,3.0,2.0,1,Female TW/ Family
242,No,2,male,29.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
243,No,3,male,22.0,0,0,7.125,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
244,No,3,male,30.0,0,0,7.225,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
245,No,1,male,44.0,2,0,90.0,Q,3,Officer,0,3.0,6.0,0,Male TW/ Family
246,No,3,female,25.0,0,0,7.775,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
247,Yes,2,female,24.0,0,2,14.5,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
248,Yes,1,male,37.0,1,1,52.5542,S,3,Mr,0,1.0,4.0,1,Male TW/ Family
249,No,2,male,54.0,1,0,26.0,S,2,Officer,0,1.0,6.0,0,Male TW/ Family
250,No,3,male,25.0,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
251,No,3,female,29.0,1,1,10.4625,S,3,Mrs,1,1.0,3.0,0,Female TW/ Family
252,No,1,male,62.0,0,0,26.55,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
253,No,3,male,30.0,1,0,16.1,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
254,No,3,female,41.0,0,2,20.2125,S,3,Mrs,1,1.0,3.0,0,Female TW/ Family
255,Yes,3,female,29.0,0,2,15.2458,C,3,Mrs,1,2.0,3.0,1,Female TW/ Family
256,Yes,1,female,33.0,0,0,79.2,C,1,Mrs,1,2.0,3.0,1,Female TW/ Family
257,Yes,1,female,30.0,0,0,86.5,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
258,Yes,1,female,35.0,0,0,512.3292,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
259,Yes,2,female,50.0,0,1,26.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
260,No,3,male,28.0,0,0,7.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
261,Yes,3,male,3.0,4,2,31.3875,S,7,Master,0,1.0,1.0,1,Child TW/ Family
262,No,1,male,52.0,1,1,79.65,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
263,No,1,male,40.0,0,0,0.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
264,No,3,female,32.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,0,Female TW/ Family
265,No,2,male,36.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
266,No,3,male,16.0,4,1,39.6875,S,6,Mr,0,1.0,4.0,0,Male TW/ Family
267,Yes,3,male,25.0,1,0,7.775,S,2,Mr,0,1.0,4.0,1,Male TW/ Family
268,Yes,1,female,58.0,0,1,153.4625,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
269,Yes,1,female,35.0,0,0,135.6333,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
270,No,1,male,33.0,0,0,31.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
271,Yes,3,male,25.0,0,0,0.0,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
272,Yes,2,female,41.0,0,1,19.5,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
273,No,1,male,37.0,0,1,29.7,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
274,Yes,3,female,30.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
275,Yes,1,female,63.0,1,0,77.9583,S,2,Miss,1,1.0,2.0,1,Female TW/ Family
276,No,3,female,45.0,0,0,7.75,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
277,No,2,male,40.0,0,0,0.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
278,No,3,male,7.0,4,1,29.125,Q,6,Master,0,3.0,1.0,0,Child TW/ Family
279,Yes,3,female,35.0,1,1,20.25,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
280,No,3,male,65.0,0,0,7.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
281,No,3,male,28.0,0,0,7.8542,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
282,No,3,male,16.0,0,0,9.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
283,Yes,3,male,19.0,0,0,8.05,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
284,No,1,male,27.0,0,0,26.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
285,No,3,male,33.0,0,0,8.6625,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
286,Yes,3,male,30.0,0,0,9.5,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
287,No,3,male,22.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
288,Yes,2,male,42.0,0,0,13.0,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
289,Yes,3,female,22.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
290,Yes,1,female,26.0,0,0,78.85,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
291,Yes,1,female,19.0,1,0,91.0792,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
292,No,2,male,36.0,0,0,12.875,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
293,No,3,female,24.0,0,0,8.85,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
294,No,3,male,24.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
295,No,1,male,28.0,0,0,27.7208,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
296,No,3,male,23.5,0,0,7.2292,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
297,No,1,female,2.0,1,2,151.55,S,4,Miss,1,1.0,2.0,0,Child TW/ Family
298,Yes,1,male,44.0,0,0,30.5,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
299,Yes,1,female,50.0,0,1,247.5208,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
300,Yes,3,female,20.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
301,Yes,3,male,38.0,2,0,23.25,Q,3,Mr,0,3.0,4.0,1,Male TW/ Family
302,No,3,male,19.0,0,0,0.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
303,Yes,2,female,21.0,0,0,12.35,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
304,No,3,male,42.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
305,Yes,1,male,0.92,1,2,151.55,S,4,Master,0,1.0,1.0,1,Child TW/ Family
306,Yes,1,female,12.0,0,0,110.8833,C,1,Miss,1,2.0,2.0,1,Child TW/ Nanny
307,Yes,1,female,17.0,1,0,108.9,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
308,No,2,male,30.0,1,0,24.0,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
309,Yes,1,female,30.0,0,0,56.9292,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
310,Yes,1,female,24.0,0,0,83.1583,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
311,Yes,1,female,18.0,2,2,262.375,C,5,Miss,1,2.0,2.0,1,Female TW/ Family
312,No,2,female,26.0,1,1,26.0,S,3,Mrs,1,1.0,3.0,0,Female TW/ Family
313,No,3,male,28.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
314,No,2,male,43.0,1,1,26.25,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
315,Yes,3,female,26.0,0,0,7.8542,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
316,Yes,2,female,24.0,1,0,26.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
317,No,2,male,54.0,0,0,14.0,S,1,Officer,0,1.0,6.0,0,Male TW/ Family
318,Yes,1,female,31.0,0,2,164.8667,S,3,Miss,1,1.0,2.0,1,Female TW/ Family
319,Yes,1,female,40.0,1,1,134.5,C,3,Mrs,1,2.0,3.0,1,Female TW/ Family
320,No,3,male,22.0,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
321,No,3,male,27.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
322,Yes,2,female,30.0,0,0,12.35,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
323,Yes,2,female,22.0,1,1,29.0,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
324,No,3,male,25.0,8,2,69.55,S,11,Mr,0,1.0,4.0,0,Male TW/ Family
325,Yes,1,female,36.0,0,0,135.6333,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
326,No,3,male,61.0,0,0,6.2375,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
327,Yes,2,female,36.0,0,0,13.0,S,1,Mrs,1,1.0,3.0,1,Female TW/ Family
328,Yes,3,female,31.0,1,1,20.525,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
329,Yes,1,female,16.0,0,1,57.9792,C,2,Miss,1,2.0,2.0,1,Female TW/ Family
330,Yes,3,female,19.0,2,0,23.25,Q,3,Miss,1,3.0,2.0,1,Female TW/ Family
331,No,1,male,45.5,0,0,28.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
332,No,1,male,38.0,0,1,153.4625,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
333,No,3,male,16.0,2,0,18.0,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
334,Yes,1,female,25.0,1,0,133.65,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
335,No,3,male,27.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
336,No,1,male,29.0,1,0,66.6,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
337,Yes,1,female,41.0,0,0,134.5,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
338,Yes,3,male,45.0,0,0,8.05,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
339,No,1,male,45.0,0,0,35.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
340,Yes,2,male,2.0,1,1,26.0,S,3,Master,0,1.0,1.0,1,Child TW/ Family
341,Yes,1,female,24.0,3,2,263.0,S,6,Miss,1,1.0,2.0,1,Female TW/ Family
342,No,2,male,28.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
343,No,2,male,25.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
344,No,2,male,36.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
345,Yes,2,female,24.0,0,0,13.0,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
346,Yes,2,female,40.0,0,0,13.0,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
347,Yes,3,female,39.0,1,0,16.1,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
348,Yes,3,male,3.0,1,1,15.9,S,3,Master,0,1.0,1.0,1,Child TW/ Family
349,No,3,male,42.0,0,0,8.6625,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
350,No,3,male,23.0,0,0,9.225,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
351,No,1,male,27.0,0,0,35.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
352,No,3,male,15.0,1,1,7.2292,C,3,Mr,0,2.0,4.0,0,Child TW/ Family
353,No,3,male,25.0,1,0,17.8,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
354,No,3,male,24.0,0,0,7.225,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
355,No,3,male,28.0,0,0,9.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
356,Yes,1,female,22.0,0,1,55.0,S,2,Miss,1,1.0,2.0,1,Female TW/ Family
357,No,2,female,38.0,0,0,13.0,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
358,Yes,3,female,26.0,0,0,7.8792,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
359,Yes,3,female,15.0,0,0,7.8792,Q,1,Miss,1,3.0,2.0,1,Child TW/ Nanny
360,No,3,male,40.0,1,4,27.9,S,6,Mr,0,1.0,4.0,0,Male TW/ Family
361,No,2,male,29.0,1,0,27.7208,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
362,No,3,female,45.0,0,1,14.4542,C,2,Mrs,1,2.0,3.0,0,Female TW/ Family
363,No,3,male,35.0,0,0,7.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
364,No,3,male,24.0,1,0,15.5,Q,2,Mr,0,3.0,4.0,0,Male TW/ Family
365,No,3,male,30.0,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
366,Yes,1,female,60.0,1,0,75.25,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
367,Yes,3,female,27.0,0,0,7.2292,C,1,Mrs,1,2.0,3.0,1,Female TW/ Family
368,Yes,3,female,17.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
369,Yes,1,female,24.0,0,0,69.3,C,1,Mrs,1,2.0,3.0,1,Female TW/ Family
370,Yes,1,male,25.0,1,0,55.4417,C,2,Mr,0,2.0,4.0,1,Male TW/ Family
371,No,3,male,18.0,1,0,6.4958,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
372,No,3,male,19.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
373,No,1,male,22.0,0,0,135.6333,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
374,No,3,female,3.0,3,1,21.075,S,5,Miss,1,1.0,2.0,0,Child TW/ Family
375,Yes,1,female,46.0,1,0,82.1708,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
376,Yes,3,female,22.0,0,0,7.25,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
377,No,1,male,27.0,0,2,211.5,C,3,Mr,0,2.0,4.0,0,Male TW/ Family
378,No,3,male,20.0,0,0,4.0125,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
379,No,3,male,19.0,0,0,7.775,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
380,Yes,1,female,42.0,0,0,227.525,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
381,Yes,3,female,1.0,0,2,15.7417,C,3,Miss,1,2.0,2.0,1,Child TW/ Sibling
382,No,3,male,32.0,0,0,7.925,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
383,Yes,1,female,35.0,1,0,52.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
384,No,3,male,23.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
385,No,2,male,18.0,0,0,73.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
386,No,3,male,1.0,5,2,46.9,S,8,Master,0,1.0,1.0,0,Child TW/ Family
387,Yes,2,female,36.0,0,0,13.0,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
388,No,3,male,34.0,0,0,7.7292,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
389,Yes,2,female,17.0,0,0,12.0,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
390,Yes,1,male,36.0,1,2,120.0,S,4,Mr,0,1.0,4.0,1,Male TW/ Family
391,Yes,3,male,21.0,0,0,7.7958,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
392,No,3,male,28.0,2,0,7.925,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
393,Yes,1,female,23.0,1,0,113.275,C,2,Miss,1,2.0,2.0,1,Female TW/ Family
394,Yes,3,female,24.0,0,2,16.7,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
395,No,3,male,22.0,0,0,7.7958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
396,No,3,female,31.0,0,0,7.8542,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
397,No,2,male,46.0,0,0,26.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
398,No,2,male,23.0,0,0,10.5,S,1,Officer,0,1.0,6.0,0,Male TW/ Family
399,Yes,2,female,28.0,0,0,12.65,S,1,Mrs,1,1.0,3.0,1,Female TW/ Family
400,Yes,3,male,39.0,0,0,7.925,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
401,No,3,male,26.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
402,No,3,female,21.0,1,0,9.825,S,2,Miss,1,1.0,2.0,0,Female TW/ Family
403,No,3,male,28.0,1,0,15.85,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
404,No,3,female,20.0,0,0,8.6625,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
405,No,2,male,34.0,1,0,21.0,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
406,No,3,male,51.0,0,0,7.75,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
407,Yes,2,male,3.0,1,1,18.75,S,3,Master,0,1.0,1.0,1,Child TW/ Family
408,No,3,male,21.0,0,0,7.775,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
409,No,3,female,33.0,3,1,25.4667,S,5,Miss,1,1.0,2.0,0,Female TW/ Family
410,No,3,male,29.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
411,No,3,male,21.0,0,0,6.8583,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
412,Yes,1,female,33.0,1,0,90.0,Q,2,Miss,1,3.0,2.0,1,Female TW/ Family
413,No,2,male,43.0,0,0,0.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
414,Yes,3,male,44.0,0,0,7.925,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
415,No,3,female,26.0,0,0,8.05,S,1,Mrs,1,1.0,3.0,0,Female TW/ Family
416,Yes,2,female,34.0,1,1,32.5,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
417,Yes,2,female,18.0,0,2,13.0,S,3,Miss,1,1.0,2.0,1,Female TW/ Family
418,No,2,male,30.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
419,No,3,female,10.0,0,2,24.15,S,3,Miss,1,1.0,2.0,0,Child TW/ Sibling
420,No,3,male,39.0,0,0,7.8958,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
421,No,3,male,21.0,0,0,7.7333,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
422,No,3,male,29.0,0,0,7.875,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
423,No,3,female,28.0,1,1,14.4,S,3,Mrs,1,1.0,3.0,0,Female TW/ Family
424,No,3,male,18.0,1,1,20.2125,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
425,No,3,male,27.0,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
426,Yes,2,female,28.0,1,0,26.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
427,Yes,2,female,19.0,0,0,26.0,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
428,No,3,male,33.0,0,0,7.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
429,Yes,3,male,32.0,0,0,8.05,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
430,Yes,1,male,28.0,0,0,26.55,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
431,Yes,3,female,35.0,1,0,16.1,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
432,Yes,2,female,42.0,1,0,26.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
433,No,3,male,17.0,0,0,7.125,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
434,No,1,male,50.0,1,0,55.9,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
435,Yes,1,female,14.0,1,2,120.0,S,4,Miss,1,1.0,2.0,1,Child TW/ Family
436,No,3,female,21.0,2,2,34.375,S,5,Miss,1,1.0,2.0,0,Female TW/ Family
437,Yes,2,female,24.0,2,3,18.75,S,6,Mrs,1,1.0,3.0,1,Female TW/ Family
438,No,1,male,64.0,1,4,263.0,S,6,Mr,0,1.0,4.0,0,Male TW/ Family
439,No,2,male,31.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
440,Yes,2,female,45.0,1,1,26.25,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
441,No,3,male,20.0,0,0,9.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
442,No,3,male,25.0,1,0,7.775,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
443,Yes,2,female,28.0,0,0,13.0,S,1,Mrs,1,1.0,3.0,1,Female TW/ Family
